dataset,subset,task,model,status,source,selected_step,loss,token_acc,exact_acc,final_acc,train_loss,num_layers,d_model,num_heads
babi,en-10k,qa1,baseline,completed,test,200,0.5733,0.7515,0.5030,1.0000,,6,256,4
babi,en-10k,qa1,baseline,interrupted,last_val,600,0.5376,0.7515,0.5030,1.0000,0.5516,6,256,4
babi,en-10k,qa1,ratio1,completed,test,800,0.5550,0.7545,0.5090,1.0000,,6,256,4
babi,en-10k,qa1,ratiogt1,completed,test,200,0.5755,0.7510,0.5020,1.0000,,6,256,4
babi,en-10k,qa1,ratiolt1,completed,test,1000,0.5539,0.7455,0.4910,1.0000,,6,256,4
babi,en-10k,qa10,baseline,completed,test,1400,0.4177,0.8060,0.6120,1.0000,,6,256,4
babi,en-10k,qa10,baseline,completed,test,1700,0.4372,0.8235,0.6470,1.0000,,6,256,4
babi,en-10k,qa10,ratiogt1,completed,test,1400,0.3793,0.8275,0.6550,1.0000,,6,256,4
babi,en-10k,qa10,ratiogt1,completed,test,1700,0.4069,0.8295,0.6590,1.0000,,6,256,4
babi,en-10k,qa10,ratiolt1,completed,test,2400,0.3733,0.8350,0.6700,1.0000,,6,256,4
babi,en-10k,qa11,baseline,completed,test,300,0.3411,0.8475,0.6950,1.0000,,6,256,4
babi,en-10k,qa11,ratiogt1,completed,test,800,0.3083,0.8545,0.7090,1.0000,,6,256,4
babi,en-10k,qa11,ratiolt1,completed,test,700,0.3316,0.8405,0.6810,1.0000,,6,256,4
babi,en-10k,qa12,baseline,completed,test,200,0.3882,0.8690,0.7380,1.0000,,6,256,4
babi,en-10k,qa12,ratiogt1,completed,test,200,0.3830,0.8760,0.7520,1.0000,,6,256,4
babi,en-10k,qa13,baseline,completed,test,400,0.1295,0.9665,0.9330,1.0000,,6,256,4
babi,en-10k,qa13,ratiogt1,completed,test,400,0.1272,0.9685,0.9370,1.0000,,6,256,4
babi,en-10k,qa14,baseline,completed,test,1500,0.7258,0.7125,0.4250,1.0000,,6,256,4
babi,en-10k,qa14,ratiogt1,completed,test,1300,0.6775,0.7185,0.4370,1.0000,,6,256,4
babi,en-10k,qa15,baseline,completed,test,1900,0.4366,0.8110,0.6220,1.0000,,6,256,4
babi,en-10k,qa15,ratiogt1,completed,test,1900,0.4160,0.8130,0.6260,1.0000,,6,256,4
babi,en-10k,qa16,baseline,completed,test,1000,0.4436,0.7360,0.4720,1.0000,,6,256,4
babi,en-10k,qa16,ratiogt1,completed,test,800,0.4475,0.7345,0.4690,1.0000,,6,256,4
babi,en-10k,qa17,baseline,completed,test,500,0.2997,0.8110,0.6220,1.0000,,6,256,4
babi,en-10k,qa17,ratiogt1,completed,test,300,0.3098,0.7970,0.5940,1.0000,,6,256,4
babi,en-10k,qa18,baseline,completed,test,2000,0.2046,0.9380,0.8760,1.0000,,6,256,4
babi,en-10k,qa18,ratiogt1,completed,test,2000,0.1679,0.9395,0.8790,1.0000,,6,256,4
babi,en-10k,qa19,baseline,completed,test,1100,0.6220,0.6595,0.0910,1.0000,,6,256,4
babi,en-10k,qa19,ratiogt1,completed,test,300,0.6238,0.6653,0.1160,1.0000,,6,256,4
babi,en-10k,qa2,baseline,completed,test,400,0.7461,0.6715,0.3430,1.0000,,6,256,4
babi,en-10k,qa2,baseline,completed,test,1000,0.9132,0.6680,0.3360,1.0000,,6,256,4
babi,en-10k,qa2,baseline,completed,test,2100,1.7790,0.6560,0.3120,1.0000,,6,256,4
babi,en-10k,qa2,ratio1,completed,test,1500,0.8735,0.6690,0.3380,1.0000,,6,256,4
babi,en-10k,qa2,ratio1,completed,test,4200,2.0647,0.6585,0.3170,1.0000,,6,256,4
babi,en-10k,qa2,ratiogt1,completed,test,400,0.7433,0.6685,0.3370,1.0000,,6,256,4
babi,en-10k,qa2,ratiogt1,completed,test,1000,0.9410,0.6675,0.3350,1.0000,,6,256,4
babi,en-10k,qa2,ratiogt1,completed,test,1500,1.2460,0.6575,0.3150,1.0000,,6,256,4
babi,en-10k,qa20,baseline,completed,test,800,0.0250,0.9885,0.9770,1.0000,,6,256,4
babi,en-10k,qa20,ratiogt1,completed,test,1600,0.0197,0.9900,0.9800,1.0000,,6,256,4
babi,en-10k,qa3,baseline,completed,test,15600,2.9459,0.6040,0.2090,0.9990,,6,256,4
babi,en-10k,qa3,ratio1,interrupted,last_val,1100,0.9027,0.5865,0.1730,1.0000,0.8552,6,256,4
babi,en-10k,qa3,ratiogt1,completed,test,9900,1.5135,0.6080,0.2160,1.0000,,6,256,4
babi,en-10k,qa4,baseline,completed,test,1400,0.0066,1.0000,1.0000,1.0000,,6,256,4
babi,en-10k,qa4,baseline,completed,test,1600,0.0074,1.0000,1.0000,1.0000,,6,256,4
babi,en-10k,qa4,ratio1,completed,test,2600,0.0038,1.0000,1.0000,1.0000,,6,256,4
babi,en-10k,qa4,ratiogt1,completed,test,1400,0.1724,0.9025,0.8050,1.0000,,6,256,4
babi,en-10k,qa4,ratiogt1,completed,test,1800,0.0021,1.0000,1.0000,1.0000,,6,256,4
babi,en-10k,qa4,ratiolt1,completed,test,2500,0.0033,1.0000,1.0000,1.0000,,6,256,4
babi,en-10k,qa5,baseline,completed,test,4200,1.0631,0.8180,0.6360,1.0000,,6,256,4
babi,en-10k,qa5,ratio1,completed,test,7000,0.1575,0.9695,0.9390,1.0000,,6,256,4
babi,en-10k,qa5,ratiogt1,completed,test,3300,0.7435,0.8350,0.6700,1.0000,,6,256,4
babi,en-10k,qa6,baseline,completed,test,1200,0.2349,0.9105,0.8210,1.0000,,6,256,4
babi,en-10k,qa6,ratiogt1,completed,test,1200,0.2167,0.9045,0.8090,1.0000,,6,256,4
babi,en-10k,qa6,ratiolt1,completed,test,1800,0.1982,0.9080,0.8160,1.0000,,6,256,4
babi,en-10k,qa7,baseline,completed,test,700,0.2921,0.8810,0.7620,1.0000,,6,256,4
babi,en-10k,qa7,baseline,completed,test,800,0.2662,0.8785,0.7570,1.0000,,6,256,4
babi,en-10k,qa7,ratiogt1,completed,test,600,0.2596,0.8810,0.7620,1.0000,,6,256,4
babi,en-10k,qa7,ratiogt1,completed,test,600,0.2650,0.8725,0.7450,1.0000,,6,256,4
babi,en-10k,qa7,ratiolt1,completed,test,1300,0.2531,0.8860,0.7720,1.0000,,6,256,4
babi,en-10k,qa8,baseline,completed,test,800,0.3751,0.8349,0.7050,0.9910,,6,256,4
babi,en-10k,qa8,baseline,completed,test,1800,0.5739,0.8447,0.7150,0.9860,,6,256,4
babi,en-10k,qa8,ratiogt1,completed,test,800,0.3589,0.8489,0.7270,0.9890,,6,256,4
babi,en-10k,qa8,ratiogt1,completed,test,1000,0.3512,0.8592,0.7450,0.9710,,6,256,4
babi,en-10k,qa8,ratiolt1,completed,test,2000,0.3835,0.8564,0.7370,0.9830,,6,256,4
babi,en-10k,qa9,baseline,completed,test,1400,0.2672,0.8600,0.7200,1.0000,,6,256,4
babi,en-10k,qa9,baseline,completed,test,2000,0.5563,0.8565,0.7130,1.0000,,6,256,4
babi,en-10k,qa9,ratiogt1,completed,test,1400,0.2836,0.8635,0.7270,1.0000,,6,256,4
babi,en-10k,qa9,ratiogt1,completed,test,2000,0.5317,0.8555,0.7110,1.0000,,6,256,4
babi,en-10k,qa9,ratiolt1,completed,test,2800,0.2552,0.8985,0.7970,1.0000,,6,256,4
babi,en-10k,qa12,ratiolt1,completed,test,1000,0.3510,0.8670,0.7340,1.0000,,6,256,4
babi,en-10k,qa6,ratio1,completed,test,1500,0.1962,0.9060,0.8120,1.0000,,6,256,4
babi,en-10k,qa7,ratio1,completed,test,1300,0.2592,0.8855,0.7710,1.0000,,6,256,4
babi,en-10k,qa13,ratiolt1,completed,test,1400,0.1245,0.9695,0.9390,1.0000,,6,256,4
babi,en-10k,qa10,ratio1,completed,test,2200,0.3690,0.8400,0.6800,1.0000,,6,256,4
babi,en-10k,qa16,ratiolt1,completed,test,2100,0.4453,0.7535,0.5070,1.0000,,6,256,4
babi,en-10k,qa17,ratiolt1,completed,test,3700,0.3086,0.8010,0.6020,1.0000,,6,256,4
babi,en-10k,qa18,ratiolt1,completed,test,4100,0.1047,0.9480,0.8960,1.0000,,6,256,4
babi,en-10k,qa19,ratiolt1,completed,test,2300,0.6230,0.6653,0.0940,1.0000,,6,256,4
babi,en-10k,qa20,ratiolt1,completed,test,900,0.0241,0.9890,0.9780,1.0000,,6,256,4
babi,en-10k,qa11,ratiogt1,completed,test,200,0.3291,0.8480,0.6960,1.0000,,6,256,4
babi,en-10k,qa12,ratiogt1,completed,test,200,0.3670,0.8565,0.7130,1.0000,,6,256,4
babi,en-10k,qa13,ratiogt1,completed,test,200,0.1255,0.9670,0.9340,1.0000,,6,256,4
babi,en-10k,qa14,ratiogt1,completed,test,200,0.7454,0.6645,0.3290,1.0000,,6,256,4
babi,en-10k,qa15,ratiogt1,completed,test,200,0.4542,0.7820,0.5640,1.0000,,6,256,4
babi,en-10k,qa16,ratiogt1,completed,test,200,0.4488,0.7425,0.4850,1.0000,,6,256,4
babi,en-10k,qa17,ratiogt1,completed,test,200,0.3049,0.7895,0.5790,1.0000,,6,256,4
babi,en-10k,qa18,ratiogt1,completed,test,200,0.3503,0.7690,0.5380,1.0000,,6,256,4
babi,en-10k,qa19,ratiogt1,completed,test,200,0.6341,0.6562,0.0880,1.0000,,6,256,4
babi,en-10k,qa20,ratiogt1,completed,test,200,0.0287,0.9890,0.9780,1.0000,,6,256,4
